"","nhtemp","wusa","jasper","westgreen","chesapeake","tornetrask","urals","mongolia","tasman","year"
"1047",NA,-0.49,0.19,0.35,-1.17,0.23,-0.16,0.32,-0.02,1047
"1048",NA,-0.53,0.25,0.28,-1.1,0.23,-0.16,0.47,-0.06,1048
"1049",NA,-0.55,0.31,0.2,-1.02,0.23,-0.17,0.61,-0.13,1049
"1050",NA,-0.55,0.38,0.11,-0.95,0.21,-0.17,0.72,-0.21,1050
"1051",NA,-0.53,0.45,0.03,-0.88,0.2,-0.17,0.81,-0.31,1051
"1052",NA,-0.49,0.51,-0.06,-0.81,0.19,-0.18,0.87,-0.41,1052
"1053",NA,-0.44,0.57,-0.15,-0.76,0.19,-0.19,0.9,-0.51,1053
"1054",NA,-0.38,0.61,-0.24,-0.71,0.22,-0.2,0.87,-0.59,1054
"1055",NA,-0.31,0.64,-0.32,-0.69,0.28,-0.21,0.8,-0.65,1055
"1056",NA,-0.24,0.64,-0.4,-0.67,0.38,-0.22,0.67,-0.69,1056
"1057",NA,-0.16,0.63,-0.47,-0.68,0.49,-0.24,0.5,-0.7,1057
"1058",NA,-0.09,0.6,-0.52,-0.7,0.62,-0.25,0.3,-0.68,1058
"1059",NA,-0.03,0.55,-0.55,-0.74,0.75,-0.27,0.09,-0.65,1059
"1060",NA,0.01,0.5,-0.56,-0.79,0.86,-0.28,-0.12,-0.59,1060
"1061",NA,0.04,0.44,-0.55,-0.85,0.95,-0.3,-0.32,-0.51,1061
"1062",NA,0.04,0.38,-0.5,-0.92,0.98,-0.32,-0.5,-0.42,1062
"1063",NA,0.01,0.33,-0.42,-1,0.97,-0.33,-0.63,-0.31,1063
"1064",NA,-0.04,0.28,-0.32,-1.08,0.91,-0.35,-0.73,-0.2,1064
"1065",NA,-0.11,0.25,-0.2,-1.16,0.82,-0.36,-0.78,-0.09,1065
"1066",NA,-0.18,0.23,-0.1,-1.23,0.71,-0.37,-0.81,0.02,1066
"1067",NA,-0.24,0.24,-0.02,-1.28,0.58,-0.38,-0.8,0.11,1067
"1068",NA,-0.29,0.27,0.03,-1.31,0.46,-0.39,-0.76,0.18,1068
"1069",NA,-0.31,0.34,0.03,-1.3,0.36,-0.39,-0.69,0.22,1069
"1070",NA,-0.31,0.45,-0.02,-1.26,0.27,-0.39,-0.61,0.22,1070
"1071",NA,-0.27,0.58,-0.12,-1.19,0.21,-0.39,-0.5,0.2,1071
"1072",NA,-0.21,0.73,-0.25,-1.1,0.17,-0.39,-0.37,0.17,1072
"1073",NA,-0.12,0.88,-0.38,-1.01,0.14,-0.39,-0.23,0.12,1073
"1074",NA,-0.02,1.02,-0.49,-0.92,0.13,-0.38,-0.09,0.08,1074
"1075",NA,0.1,1.15,-0.56,-0.84,0.11,-0.37,0.06,0.05,1075
"1076",NA,0.23,1.24,-0.59,-0.8,0.1,-0.36,0.22,0.04,1076
"1077",NA,0.37,1.3,-0.54,-0.79,0.09,-0.35,0.37,0.06,1077
"1078",NA,0.52,1.32,-0.44,-0.8,0.08,-0.34,0.51,0.1,1078
"1079",NA,0.66,1.3,-0.3,-0.83,0.08,-0.33,0.62,0.15,1079
"1080",NA,0.8,1.26,-0.14,-0.86,0.1,-0.31,0.71,0.2,1080
"1081",NA,0.92,1.2,0.03,-0.88,0.14,-0.3,0.76,0.23,1081
"1082",NA,1.03,1.13,0.17,-0.88,0.21,-0.29,0.75,0.24,1082
"1083",NA,1.12,1.05,0.28,-0.85,0.31,-0.27,0.69,0.21,1083
"1084",NA,1.19,0.96,0.34,-0.78,0.44,-0.26,0.56,0.13,1084
"1085",NA,1.24,0.87,0.36,-0.67,0.61,-0.25,0.39,0.03,1085
"1086",NA,1.26,0.79,0.35,-0.55,0.77,-0.24,0.19,-0.1,1086
"1087",NA,1.26,0.72,0.32,-0.42,0.93,-0.23,-0.02,-0.24,1087
"1088",NA,1.24,0.66,0.28,-0.31,1.07,-0.22,-0.21,-0.36,1088
"1089",NA,1.2,0.62,0.25,-0.21,1.15,-0.21,-0.36,-0.46,1089
"1090",NA,1.14,0.61,0.23,-0.16,1.18,-0.2,-0.46,-0.53,1090
"1091",NA,1.07,0.62,0.23,-0.15,1.14,-0.19,-0.48,-0.54,1091
"1092",NA,0.99,0.66,0.25,-0.18,1.04,-0.19,-0.45,-0.52,1092
"1093",NA,0.9,0.71,0.28,-0.25,0.9,-0.18,-0.37,-0.47,1093
"1094",NA,0.82,0.79,0.31,-0.33,0.75,-0.18,-0.27,-0.39,1094
"1095",NA,0.75,0.88,0.34,-0.44,0.6,-0.18,-0.16,-0.31,1095
"1096",NA,0.7,0.97,0.35,-0.55,0.47,-0.17,-0.07,-0.24,1096
"1097",NA,0.68,1.07,0.34,-0.66,0.4,-0.17,-0.01,-0.17,1097
"1098",NA,0.68,1.17,0.3,-0.75,0.38,-0.17,0,-0.13,1098
"1099",NA,0.72,1.27,0.24,-0.84,0.4,-0.17,-0.03,-0.11,1099
"1100",NA,0.77,1.36,0.16,-0.92,0.46,-0.17,-0.1,-0.1,1100
"1101",NA,0.83,1.43,0.07,-0.98,0.54,-0.17,-0.18,-0.1,1101
"1102",NA,0.9,1.49,-0.04,-1.04,0.61,-0.17,-0.28,-0.11,1102
"1103",NA,0.96,1.52,-0.14,-1.09,0.66,-0.18,-0.38,-0.12,1103
"1104",NA,1.02,1.53,-0.25,-1.12,0.67,-0.18,-0.48,-0.13,1104
"1105",NA,1.05,1.51,-0.35,-1.15,0.63,-0.19,-0.55,-0.14,1105
"1106",NA,1.07,1.46,-0.44,-1.17,0.56,-0.2,-0.62,-0.14,1106
"1107",NA,1.06,1.38,-0.51,-1.18,0.46,-0.21,-0.66,-0.13,1107
"1108",NA,1.05,1.29,-0.56,-1.18,0.35,-0.22,-0.7,-0.11,1108
"1109",NA,1.01,1.17,-0.58,-1.16,0.25,-0.22,-0.72,-0.08,1109
"1110",NA,0.95,1.05,-0.57,-1.12,0.17,-0.23,-0.73,-0.04,1110
"1111",NA,0.88,0.9,-0.52,-1.06,0.12,-0.24,-0.73,0.01,1111
"1112",NA,0.8,0.76,-0.43,-0.98,0.13,-0.25,-0.73,0.07,1112
"1113",NA,0.7,0.6,-0.31,-0.89,0.16,-0.26,-0.72,0.15,1113
"1114",NA,0.59,0.45,-0.17,-0.8,0.22,-0.27,-0.7,0.22,1114
"1115",NA,0.49,0.31,-0.03,-0.72,0.27,-0.27,-0.67,0.29,1115
"1116",NA,0.4,0.17,0.12,-0.65,0.3,-0.28,-0.64,0.36,1116
"1117",NA,0.32,0.05,0.25,-0.61,0.29,-0.28,-0.61,0.42,1117
"1118",NA,0.25,-0.05,0.36,-0.6,0.22,-0.28,-0.58,0.46,1118
"1119",NA,0.22,-0.12,0.44,-0.64,0.08,-0.29,-0.55,0.48,1119
"1120",NA,0.19,-0.17,0.49,-0.7,-0.11,-0.29,-0.51,0.49,1120
"1121",NA,0.19,-0.2,0.52,-0.77,-0.33,-0.29,-0.48,0.48,1121
"1122",NA,0.18,-0.22,0.53,-0.83,-0.55,-0.29,-0.44,0.47,1122
"1123",NA,0.17,-0.23,0.53,-0.88,-0.74,-0.29,-0.4,0.44,1123
"1124",NA,0.16,-0.23,0.54,-0.87,-0.9,-0.28,-0.36,0.41,1124
"1125",NA,0.13,-0.22,0.55,-0.81,-0.98,-0.28,-0.32,0.38,1125
"1126",NA,0.08,-0.21,0.58,-0.69,-0.97,-0.27,-0.27,0.35,1126
"1127",NA,0.01,-0.2,0.61,-0.51,-0.89,-0.26,-0.23,0.32,1127
"1128",NA,-0.06,-0.19,0.65,-0.3,-0.76,-0.25,-0.19,0.29,1128
"1129",NA,-0.14,-0.17,0.68,-0.1,-0.6,-0.23,-0.16,0.27,1129
"1130",NA,-0.21,-0.13,0.72,0.08,-0.43,-0.22,-0.13,0.25,1130
"1131",NA,-0.27,-0.09,0.74,0.21,-0.28,-0.2,-0.11,0.24,1131
"1132",NA,-0.31,-0.03,0.76,0.26,-0.16,-0.19,-0.11,0.23,1132
"1133",NA,-0.33,0.05,0.75,0.22,-0.09,-0.17,-0.12,0.23,1133
"1134",NA,-0.33,0.14,0.73,0.1,-0.07,-0.16,-0.14,0.24,1134
"1135",NA,-0.32,0.23,0.7,-0.08,-0.08,-0.14,-0.16,0.24,1135
"1136",NA,-0.3,0.32,0.67,-0.29,-0.11,-0.12,-0.17,0.25,1136
"1137",NA,-0.28,0.39,0.62,-0.51,-0.14,-0.11,-0.17,0.25,1137
"1138",NA,-0.27,0.46,0.58,-0.72,-0.16,-0.1,-0.15,0.25,1138
"1139",NA,-0.27,0.49,0.54,-0.89,-0.16,-0.09,-0.09,0.25,1139
"1140",NA,-0.29,0.5,0.49,-1.01,-0.13,-0.08,-0.01,0.24,1140
"1141",NA,-0.32,0.49,0.45,-1.08,-0.08,-0.08,0.1,0.22,1141
"1142",NA,-0.36,0.46,0.4,-1.11,-0.01,-0.08,0.22,0.2,1142
"1143",NA,-0.42,0.42,0.34,-1.12,0.05,-0.08,0.33,0.19,1143
"1144",NA,-0.48,0.37,0.27,-1.1,0.11,-0.08,0.41,0.19,1144
"1145",NA,-0.54,0.33,0.17,-1.08,0.15,-0.09,0.45,0.2,1145
"1146",NA,-0.6,0.29,0.05,-1.06,0.15,-0.1,0.44,0.22,1146
"1147",NA,-0.66,0.27,-0.1,-1.05,0.11,-0.12,0.37,0.27,1147
"1148",NA,-0.72,0.26,-0.26,-1.04,0.03,-0.13,0.25,0.32,1148
"1149",NA,-0.75,0.26,-0.43,-1.05,-0.06,-0.15,0.1,0.38,1149
"1150",NA,-0.77,0.27,-0.58,-1.05,-0.15,-0.18,-0.05,0.43,1150
"1151",NA,-0.77,0.29,-0.71,-1.07,-0.24,-0.2,-0.19,0.47,1151
"1152",NA,-0.73,0.3,-0.8,-1.08,-0.31,-0.22,-0.28,0.48,1152
"1153",NA,-0.66,0.32,-0.83,-1.1,-0.34,-0.25,-0.31,0.47,1153
"1154",NA,-0.55,0.34,-0.79,-1.11,-0.33,-0.27,-0.27,0.42,1154
"1155",NA,-0.41,0.35,-0.71,-1.12,-0.29,-0.29,-0.16,0.34,1155
"1156",NA,-0.25,0.36,-0.59,-1.13,-0.22,-0.31,-0.02,0.24,1156
"1157",NA,-0.08,0.38,-0.46,-1.14,-0.15,-0.33,0.14,0.14,1157
"1158",NA,0.08,0.4,-0.33,-1.14,-0.07,-0.35,0.3,0.05,1158
"1159",NA,0.23,0.42,-0.22,-1.15,-0.02,-0.37,0.43,-0.03,1159
"1160",NA,0.35,0.44,-0.16,-1.16,0.01,-0.38,0.5,-0.08,1160
"1161",NA,0.44,0.47,-0.14,-1.16,0,-0.4,0.51,-0.1,1161
"1162",NA,0.5,0.5,-0.17,-1.17,-0.03,-0.41,0.46,-0.08,1162
"1163",NA,0.54,0.54,-0.23,-1.17,-0.09,-0.42,0.39,-0.03,1163
"1164",NA,0.55,0.57,-0.29,-1.17,-0.16,-0.43,0.31,0.03,1164
"1165",NA,0.55,0.59,-0.35,-1.16,-0.23,-0.43,0.24,0.12,1165
"1166",NA,0.54,0.61,-0.39,-1.15,-0.28,-0.44,0.21,0.21,1166
"1167",NA,0.53,0.62,-0.38,-1.14,-0.32,-0.44,0.25,0.31,1167
"1168",NA,0.52,0.61,-0.33,-1.11,-0.32,-0.44,0.36,0.41,1168
"1169",NA,0.52,0.6,-0.23,-1.08,-0.3,-0.44,0.53,0.51,1169
"1170",NA,0.53,0.58,-0.1,-1.06,-0.26,-0.44,0.74,0.59,1170
"1171",NA,0.54,0.55,0.03,-1.03,-0.21,-0.43,0.96,0.66,1171
"1172",NA,0.56,0.52,0.16,-1.02,-0.15,-0.42,1.16,0.7,1172
"1173",NA,0.6,0.49,0.27,-1.02,-0.09,-0.41,1.33,0.72,1173
"1174",NA,0.65,0.46,0.34,-1.04,-0.04,-0.4,1.45,0.71,1174
"1175",NA,0.72,0.43,0.37,-1.08,0,-0.38,1.48,0.67,1175
"1176",NA,0.8,0.41,0.35,-1.13,0.02,-0.36,1.44,0.6,1176
"1177",NA,0.88,0.4,0.3,-1.2,0.05,-0.34,1.34,0.51,1177
"1178",NA,0.95,0.39,0.22,-1.27,0.06,-0.32,1.19,0.42,1178
"1179",NA,1.02,0.39,0.12,-1.34,0.07,-0.29,0.99,0.34,1179
"1180",NA,1.07,0.4,0,-1.41,0.09,-0.27,0.77,0.28,1180
"1181",NA,1.1,0.42,-0.12,-1.46,0.1,-0.24,0.53,0.25,1181
"1182",NA,1.1,0.45,-0.24,-1.5,0.12,-0.22,0.28,0.26,1182
"1183",NA,1.08,0.49,-0.36,-1.52,0.14,-0.19,0.03,0.29,1183
"1184",NA,1.04,0.53,-0.46,-1.53,0.16,-0.16,-0.19,0.33,1184
"1185",NA,0.99,0.56,-0.54,-1.53,0.17,-0.14,-0.39,0.36,1185
"1186",NA,0.94,0.58,-0.6,-1.52,0.16,-0.11,-0.54,0.38,1186
"1187",NA,0.89,0.59,-0.62,-1.51,0.13,-0.08,-0.63,0.36,1187
"1188",NA,0.85,0.58,-0.61,-1.5,0.08,-0.06,-0.65,0.29,1188
"1189",NA,0.83,0.54,-0.55,-1.49,0,-0.04,-0.59,0.16,1189
"1190",NA,0.82,0.47,-0.47,-1.48,-0.09,-0.01,-0.46,-0.01,1190
"1191",NA,0.81,0.39,-0.37,-1.47,-0.2,0.01,-0.3,-0.21,1191
"1192",NA,0.81,0.3,-0.26,-1.45,-0.31,0.03,-0.12,-0.41,1192
"1193",NA,0.81,0.2,-0.15,-1.43,-0.41,0.05,0.06,-0.6,1193
"1194",NA,0.8,0.1,-0.07,-1.4,-0.49,0.07,0.21,-0.75,1194
"1195",NA,0.77,0,-0.02,-1.35,-0.55,0.09,0.32,-0.85,1195
"1196",NA,0.74,-0.09,0,-1.29,-0.58,0.11,0.36,-0.87,1196
"1197",NA,0.69,-0.17,-0.02,-1.23,-0.58,0.13,0.34,-0.83,1197
"1198",NA,0.64,-0.25,-0.05,-1.15,-0.57,0.15,0.28,-0.75,1198
"1199",NA,0.59,-0.31,-0.09,-1.06,-0.55,0.17,0.19,-0.64,1199
"1200",NA,0.54,-0.36,-0.12,-0.97,-0.53,0.19,0.08,-0.52,1200
"1201",NA,0.5,-0.39,-0.12,-0.87,-0.53,0.21,-0.03,-0.41,1201
"1202",NA,0.48,-0.41,-0.09,-0.77,-0.55,0.23,-0.14,-0.32,1202
"1203",NA,0.47,-0.42,-0.02,-0.68,-0.6,0.24,-0.23,-0.26,1203
"1204",NA,0.48,-0.41,0.09,-0.58,-0.67,0.26,-0.3,-0.23,1204
"1205",NA,0.49,-0.39,0.22,-0.49,-0.76,0.27,-0.35,-0.23,1205
"1206",NA,0.51,-0.37,0.35,-0.41,-0.86,0.29,-0.38,-0.25,1206
"1207",NA,0.52,-0.34,0.47,-0.34,-0.96,0.3,-0.38,-0.28,1207
"1208",NA,0.52,-0.32,0.56,-0.3,-1.06,0.31,-0.36,-0.31,1208
"1209",NA,0.5,-0.31,0.61,-0.27,-1.14,0.33,-0.32,-0.34,1209
"1210",NA,0.46,-0.31,0.6,-0.26,-1.21,0.34,-0.26,-0.37,1210
"1211",NA,0.4,-0.32,0.56,-0.28,-1.26,0.35,-0.18,-0.39,1211
"1212",NA,0.34,-0.34,0.49,-0.31,-1.28,0.37,-0.08,-0.4,1212
"1213",NA,0.28,-0.37,0.42,-0.35,-1.29,0.38,0.03,-0.4,1213
"1214",NA,0.23,-0.39,0.36,-0.4,-1.27,0.39,0.15,-0.38,1214
"1215",NA,0.19,-0.42,0.33,-0.45,-1.22,0.41,0.27,-0.35,1215
"1216",NA,0.18,-0.45,0.35,-0.5,-1.15,0.42,0.4,-0.31,1216
"1217",NA,0.2,-0.47,0.42,-0.55,-1.05,0.43,0.51,-0.26,1217
"1218",NA,0.24,-0.49,0.53,-0.59,-0.93,0.44,0.62,-0.19,1218
"1219",NA,0.3,-0.5,0.66,-0.63,-0.8,0.45,0.72,-0.13,1219
"1220",NA,0.36,-0.51,0.79,-0.66,-0.65,0.46,0.81,-0.06,1220
"1221",NA,0.41,-0.52,0.89,-0.7,-0.51,0.47,0.88,-0.01,1221
"1222",NA,0.45,-0.53,0.94,-0.75,-0.36,0.47,0.93,0.02,1222
"1223",NA,0.47,-0.53,0.92,-0.79,-0.22,0.48,0.97,0.04,1223
"1224",NA,0.46,-0.53,0.81,-0.84,-0.09,0.48,0.98,0.02,1224
"1225",NA,0.43,-0.53,0.64,-0.89,0.02,0.49,0.97,-0.01,1225
"1226",NA,0.38,-0.53,0.43,-0.93,0.1,0.49,0.95,-0.07,1226
"1227",NA,0.32,-0.52,0.2,-0.96,0.16,0.49,0.92,-0.12,1227
"1228",NA,0.26,-0.52,-0.01,-0.97,0.18,0.49,0.89,-0.18,1228
"1229",NA,0.2,-0.51,-0.18,-0.95,0.16,0.49,0.86,-0.22,1229
"1230",NA,0.16,-0.5,-0.28,-0.91,0.09,0.49,0.84,-0.25,1230
"1231",NA,0.13,-0.49,-0.29,-0.82,-0.02,0.49,0.82,-0.25,1231
"1232",NA,0.12,-0.48,-0.24,-0.71,-0.17,0.5,0.81,-0.24,1232
"1233",NA,0.13,-0.46,-0.13,-0.58,-0.34,0.5,0.8,-0.21,1233
"1234",NA,0.13,-0.43,-0.01,-0.44,-0.52,0.51,0.78,-0.16,1234
"1235",NA,0.14,-0.4,0.11,-0.31,-0.69,0.52,0.76,-0.11,1235
"1236",NA,0.15,-0.35,0.2,-0.18,-0.83,0.52,0.72,-0.05,1236
"1237",NA,0.15,-0.3,0.23,-0.09,-0.94,0.53,0.66,0,1237
"1238",NA,0.14,-0.23,0.2,-0.02,-0.99,0.54,0.58,0.06,1238
"1239",NA,0.11,-0.15,0.11,0.02,-1,0.55,0.49,0.1,1239
"1240",NA,0.08,-0.06,-0.02,0.03,-0.97,0.56,0.39,0.15,1240
"1241",NA,0.04,0.02,-0.15,0.02,-0.9,0.57,0.31,0.19,1241
"1242",NA,-0.01,0.1,-0.27,0,-0.81,0.57,0.24,0.23,1242
"1243",NA,-0.06,0.17,-0.36,-0.05,-0.71,0.58,0.21,0.28,1243
"1244",NA,-0.11,0.22,-0.39,-0.1,-0.59,0.58,0.22,0.32,1244
"1245",NA,-0.16,0.25,-0.34,-0.17,-0.46,0.58,0.29,0.37,1245
"1246",NA,-0.21,0.27,-0.23,-0.23,-0.34,0.58,0.38,0.42,1246
"1247",NA,-0.26,0.27,-0.09,-0.3,-0.23,0.58,0.5,0.47,1247
"1248",NA,-0.31,0.26,0.07,-0.35,-0.13,0.57,0.62,0.5,1248
"1249",NA,-0.35,0.23,0.23,-0.4,-0.05,0.56,0.71,0.52,1249
"1250",NA,-0.38,0.19,0.36,-0.42,0,0.55,0.77,0.53,1250
"1251",NA,-0.4,0.15,0.44,-0.42,0.02,0.54,0.78,0.51,1251
"1252",NA,-0.41,0.1,0.46,-0.4,0,0.52,0.71,0.47,1252
"1253",NA,-0.41,0.05,0.42,-0.35,-0.05,0.51,0.6,0.41,1253
"1254",NA,-0.4,-0.01,0.33,-0.29,-0.12,0.49,0.45,0.34,1254
"1255",NA,-0.38,-0.05,0.21,-0.24,-0.22,0.47,0.29,0.26,1255
"1256",NA,-0.35,-0.09,0.07,-0.19,-0.33,0.46,0.14,0.18,1256
"1257",NA,-0.31,-0.11,-0.09,-0.16,-0.44,0.44,0.02,0.11,1257
"1258",NA,-0.26,-0.11,-0.25,-0.15,-0.55,0.43,-0.04,0.05,1258
"1259",NA,-0.2,-0.09,-0.41,-0.18,-0.66,0.42,-0.04,0.02,1259
"1260",NA,-0.13,-0.05,-0.54,-0.24,-0.76,0.41,0.02,-0.01,1260
"1261",NA,-0.06,0,-0.66,-0.32,-0.84,0.4,0.11,-0.01,1261
"1262",NA,0,0.07,-0.75,-0.4,-0.91,0.4,0.22,0,1262
"1263",NA,0.06,0.14,-0.8,-0.48,-0.95,0.39,0.32,0.02,1263
"1264",NA,0.09,0.22,-0.81,-0.55,-0.96,0.39,0.39,0.05,1264
"1265",NA,0.11,0.29,-0.78,-0.59,-0.94,0.39,0.41,0.09,1265
"1266",NA,0.1,0.36,-0.7,-0.6,-0.89,0.38,0.38,0.13,1266
"1267",NA,0.07,0.43,-0.57,-0.6,-0.82,0.38,0.29,0.17,1267
"1268",NA,0.02,0.49,-0.42,-0.59,-0.73,0.38,0.18,0.21,1268
"1269",NA,-0.03,0.54,-0.25,-0.59,-0.64,0.37,0.05,0.24,1269
"1270",NA,-0.08,0.57,-0.08,-0.61,-0.57,0.36,-0.07,0.26,1270
"1271",NA,-0.12,0.6,0.09,-0.67,-0.52,0.36,-0.17,0.25,1271
"1272",NA,-0.14,0.61,0.24,-0.78,-0.51,0.35,-0.22,0.22,1272
"1273",NA,-0.15,0.61,0.36,-0.95,-0.54,0.34,-0.22,0.16,1273
"1274",NA,-0.14,0.6,0.46,-1.16,-0.6,0.34,-0.16,0.08,1274
"1275",NA,-0.12,0.56,0.53,-1.37,-0.69,0.33,-0.07,-0.01,1275
"1276",NA,-0.11,0.51,0.57,-1.57,-0.8,0.32,0.06,-0.12,1276
"1277",NA,-0.1,0.45,0.6,-1.73,-0.9,0.31,0.2,-0.22,1277
"1278",NA,-0.11,0.37,0.62,-1.82,-0.99,0.3,0.34,-0.32,1278
"1279",NA,-0.14,0.27,0.62,-1.81,-1.06,0.28,0.49,-0.4,1279
"1280",NA,-0.2,0.15,0.61,-1.69,-1.09,0.27,0.62,-0.45,1280
"1281",NA,-0.28,0.02,0.59,-1.47,-1.1,0.26,0.73,-0.49,1281
"1282",NA,-0.38,-0.11,0.56,-1.19,-1.09,0.25,0.82,-0.51,1282
"1283",NA,-0.48,-0.25,0.51,-0.88,-1.06,0.24,0.88,-0.51,1283
"1284",NA,-0.58,-0.37,0.46,-0.56,-1.04,0.23,0.91,-0.51,1284
"1285",NA,-0.67,-0.48,0.39,-0.27,-1.01,0.22,0.91,-0.49,1285
"1286",NA,-0.75,-0.57,0.31,-0.03,-1.01,0.21,0.86,-0.47,1286
"1287",NA,-0.79,-0.63,0.22,0.13,-1.01,0.21,0.77,-0.45,1287
"1288",NA,-0.81,-0.67,0.12,0.22,-1.04,0.2,0.65,-0.42,1288
"1289",NA,-0.81,-0.68,0.02,0.24,-1.08,0.2,0.5,-0.39,1289
"1290",NA,-0.79,-0.67,-0.08,0.2,-1.13,0.19,0.32,-0.37,1290
"1291",NA,-0.74,-0.65,-0.16,0.11,-1.18,0.19,0.13,-0.35,1291
"1292",NA,-0.68,-0.61,-0.22,-0.01,-1.23,0.19,-0.07,-0.32,1292
"1293",NA,-0.6,-0.56,-0.26,-0.17,-1.28,0.19,-0.28,-0.31,1293
"1294",NA,-0.5,-0.5,-0.27,-0.35,-1.33,0.19,-0.48,-0.3,1294
"1295",NA,-0.4,-0.43,-0.25,-0.54,-1.36,0.2,-0.66,-0.28,1295
"1296",NA,-0.29,-0.36,-0.21,-0.72,-1.37,0.21,-0.83,-0.27,1296
"1297",NA,-0.18,-0.27,-0.15,-0.88,-1.36,0.22,-0.96,-0.24,1297
"1298",NA,-0.07,-0.18,-0.08,-1.01,-1.32,0.22,-1.06,-0.19,1298
"1299",NA,0.02,-0.09,0,-1.09,-1.24,0.24,-1.11,-0.13,1299
"1300",NA,0.09,0.01,0.09,-1.1,-1.12,0.25,-1.09,-0.04,1300
